人气排序,小说名称,作者,小说类型,总点击数,会员周点击数,总字数,评论数,评分,小说性质,写作进程,授权状态,更新时间
1,一念永恒,耳根,仙侠小说,4383898,10691,1155534,435429,9.8,公众作品,连载中,Ａ级签约,2016/10/23 11:50
2,斗战狂潮,骷髅精灵,仙侠小说,1678379,36587,422116,23159,10,公众作品,连载中,Ａ级签约,2016/10/22 17:05
3,天影,萧鼎,仙侠小说,1248708,32019,373763,25253,9.8,公众作品,连载中,Ａ级签约,2016/10/23 10:40
4,不朽凡人,鹅是老五,仙侠小说,2457382,9610,995669,146715,9.9,公众作品,连载中,Ａ级签约,2016/10/22 20:50
5,玄界之门,忘语,仙侠小说,3736897,6709,1784999,238113,9.8,公众作品,新书上传,Ａ级签约,2016/10/23 10:15
6,龙王传说,唐家三少,玄幻小说,2968846,3080,1552654,293934,9.8,公众作品,新书上传,Ａ级签约,2016/10/23 7:00
7,美食供应商,会做菜的猫,都市小说,1033427,10372,424742,63007,9.5,公众作品,连载中,Ａ级签约,2016/10/22 22:09
8,武道宗师,爱潜水的乌贼,玄幻小说,157094,18237,153131,6228,10,VIP作品,连载中,Ａ级,2016/10/23 12:25
9,斩仙,任怨,仙侠小说,8665859,278,5433738,30701,9.5,公众作品,新书上传,Ａ级签约,2015/10/30 22:05
10,星战风暴,骷髅精灵,科幻小说,25181363,676,3933207,352682,9.7,公众作品,新书上传,Ａ级签约,2016/8/2 17:03
11,冒牌大英雄,七十二编,科幻小说,22676983,492,4119342,95040,8.4,公众作品,已经完本,Ａ级签约,2011/10/22 21:49
12,宝鉴,打眼,都市小说,8252764,615,4143184,87778,9.6,公众作品,已经完本,Ａ级签约,2015/12/12 16:21
13,完美世界,辰东,玄幻小说,29202959,1702,6587139,569756,9.8,公众作品,精彩纷呈,Ａ级签约,2016/8/4 8:17
14,大宋的智慧,孑与2,历史小说,3700009,1152,3378999,108495,9.7,公众作品,已经完本,Ａ级签约,2016/5/23 11:58
15,宅师,烛,都市小说,2168304,653,2950033,19413,9.4,公众作品,已经完本,Ａ级签约,2015/6/12 15:02
16,魔天记,忘语,仙侠小说,11605672,950,4847991,193634,9.7,公众作品,新书上传,Ａ级签约,2016/1/5 17:00
17,儒道至圣,永恒之火,玄幻小说,4675394,4542,4379412,221639,9.2,公众作品,精彩纷呈,Ａ级签约,2016/10/23 1:11
18,异常生物见闻录,远瞳,科幻小说,2350638,2940,3587584,165424,9.9,公众作品,精彩纷呈,Ａ级签约,2016/10/23 11:03
19,我欲封天,耳根,仙侠小说,20995002,1167,4955048,389200,9.7,公众作品,新书上传,Ａ级签约,2016/7/1 16:30
20,夜天子,月关,历史小说,3249420,872,3430460,118412,9.7,公众作品,已经完本,Ａ级签约,2016/5/28 7:15
21,大主宰,天蚕土豆,玄幻小说,29547476,5987,4304130,350425,9.6,公众作品,精彩纷呈,Ａ级签约,2016/10/23 12:14
22,官道无疆,瑞根,职场小说,7739383,909,9863617,145519,9.7,公众作品,新书上传,Ａ级签约,2016/10/9 23:55
23,公子风流,上山打老虎额,历史小说,1745962,505,2834698,18103,9.6,公众作品,已经完本,Ａ级签约,2015/6/7 13:10
24,一世之尊,爱潜水的乌贼,玄幻小说,4389937,2107,4437061,164648,9.8,公众作品,已经完本,Ａ级签约,2016/10/1 19:17
25,无敌唤灵,苍天白鹤,玄幻小说,8258082,409,4451480,28279,9.6,公众作品,新书上传,Ａ级签约,2015/7/10 12:55
26,造化之门,鹅是老五,仙侠小说,13376750,1533,4784928,147990,9.7,公众作品,已经完本,Ａ级签约,2016/6/21 16:11
27,武极天下,蚕茧里的牛,玄幻小说,13374766,464,6710548,136716,9.6,公众作品,已经完本,Ａ级签约,2015/10/8 19:12
28,空想舰娘,欧洲提督,科幻小说,916633,151,1117596,21135,9.1,公众作品,新书上传,Ａ级签约,2016/3/15 3:49
29,惊悚乐园,三天两觉,游戏小说,3686750,937,4217566,158013,9.8,公众作品,连载中,Ａ级签约,2016/10/15 21:21
30,材料帝国,齐橙,都市小说,2085735,553,2461212,27700,9.5,公众作品,已经完本,Ａ级签约,2016/1/11 10:52
31,神级英雄,大烟缸,游戏小说,5216628,1198,5369036,92498,9.7,公众作品,精彩纷呈,Ａ级签约,2016/10/22 21:34
32,莽荒纪,我吃西红柿,仙侠小说,61606412,785,4178953,297646,9.7,公众作品,已经完本,Ａ级签约,2015/9/21 11:36
33,医统江山,石章鱼,历史小说,7290531,2034,5381815,188206,9.6,公众作品,新书上传,Ａ级签约,2016/10/21 17:42
34,飞天,跃千愁,仙侠小说,2683274,3956,6399634,165724,9.7,公众作品,精彩纷呈,Ａ级签约,2016/10/22 17:44
35,宋时归,天使奥斯卡,历史小说,8923378,225,4716906,58974,8.7,公众作品,新书上传,Ａ级签约,2015/12/24 1:40
36,神秘之旅,滚开,奇幻小说,3611916,537,4491807,42052,9.6,公众作品,已经完本,Ａ级签约,2015/7/23 17:01
37,疯巫妖的实验日志,愤怒的松鼠,游戏小说,1792565,389,3153928,41821,9.7,公众作品,新书上传,Ａ级签约,2016/9/11 20:28
38,择天记,猫腻,玄幻小说,1189871,2658,2771046,107434,9.6,公众作品,连载中,签约作品,2016/10/21 23:55
39,天择,卷土,玄幻小说,3262103,757,5119122,59413,9.7,公众作品,新书上传,Ａ级签约,2016/7/23 10:28
40,天火大道,唐家三少,都市小说,2789491,127,2589702,79649,9.6,公众作品,新书上传,Ａ级签约,2016/1/18 0:06
41,重生之神级败家子,辰机唐红豆,都市小说,11549161,487,3943565,74776,9.5,公众作品,已经完本,Ａ级签约,2016/7/24 10:58
42,怪厨,田十,都市小说,2377622,838,6283971,21806,9.5,公众作品,已经完本,Ａ级签约,2016/3/4 15:16
43,苍穹龙骑,华表,玄幻小说,1832175,724,4471394,53266,9.3,公众作品,已经完本,Ａ级签约,2016/7/10 23:57
44,灵域,逆苍天,玄幻小说,7616667,220,4988258,119514,9.7,公众作品,新书上传,Ａ级签约,2015/12/29 18:02
45,我真是大明星,尝谕,职场小说,1709065,10154,3800982,398307,9.7,公众作品,连载中,Ａ级签约,2016/10/23 16:34
46,黑铁之堡,醉虎,玄幻小说,2400121,2023,5982698,111351,9.8,公众作品,新书上传,Ａ级签约,2016/10/23 0:18
47,天才名医,钓鱼1哥,都市小说,1026519,583,1834074,8689,9.7,公众作品,已经完本,Ａ级签约,2016/7/5 13:30
48,传奇缔造者,临河羡鱼翁,体育小说,699405,101,3583815,13940,9.8,公众作品,新书上传,Ａ级签约,2015/7/17 21:37
49,佣兵的战争,如水意,军事小说,1570534,3989,5752654,92845,9.8,公众作品,连载中,Ａ级签约,2016/10/22 21:12
50,超级电力强国,给您添蘑菇啦,都市小说,1025458,898,2173959,14609,9.7,公众作品,已经完本,Ａ级签约,2016/9/18 14:23
51,水浒求生记,他来自江湖,历史小说,1855854,146,2959425,27411,9.7,公众作品,精彩纷呈,Ａ级签约,2016/5/17 0:41
52,都市回收霸主,傻小四,都市小说,1182451,136,1451866,8673,9.2,公众作品,新书上传,Ａ级签约,2016/2/23 18:22
53,重任,曲封,职场小说,2067297,345,2934719,19809,9.6,公众作品,已经完本,Ａ级签约,2016/1/29 0:01
54,神话版三国,坟土荒草,历史小说,1954882,849,3635655,53460,9.8,公众作品,新书上传,Ａ级签约,2016/10/22 19:00
55,三国之召唤猛将,青铜剑客,历史小说,1520053,1088,4057608,54115,8.1,公众作品,精彩纷呈,Ａ级签约,2016/10/23 16:26
56,深渊主宰,诸生浮屠,游戏小说,2097389,1240,2865950,91598,9.8,公众作品,新书上传,Ａ级签约,2016/10/22 12:33
57,天醒之路,蝴蝶蓝,玄幻小说,3827134,725,1645825,127440,9.9,公众作品,连载中,Ａ级签约,2016/10/19 6:06
58,大豪门,不信天上掉馅饼,仙侠小说,5550317,629,4752399,41979,9.7,公众作品,已经完本,Ａ级签约,2015/9/30 9:31
59,我的明朝生涯,千斤顶,历史小说,845547,491,1934986,6693,9.6,公众作品,已经完本,Ａ级签约,2016/5/3 23:43
60,武炼巅峰,莫默,玄幻小说,6049594,2334,9932917,137071,9.6,公众作品,精彩纷呈,Ａ级签约,2016/10/23 7:37
61,大圣传,说梦者,仙侠小说,7814790,569,4150461,96719,9.7,公众作品,精彩纷呈,Ａ级签约,2016/10/21 15:22
62,我要做皇帝,要离刺荆轲,历史小说,1919592,2845,3867669,66600,9.7,公众作品,新书上传,Ａ级签约,2016/10/22 23:01
63,乱清,青玉狮子,历史小说,2151735,1485,3557010,28467,9.5,公众作品,新书上传,Ａ级签约,2016/10/22 21:00
64,狂仙,陈风笑,仙侠小说,1418374,519,3881831,55674,9.8,公众作品,已经完本,Ａ级签约,2016/4/12 15:20
65,大神戒,兔子来了,都市小说,1344818,436,2100500,16744,9.4,公众作品,已经完本,Ａ级签约,2016/2/1 18:22
66,农家仙田,南山隐士,都市小说,1461043,1165,3423734,25104,9.1,公众作品,精彩纷呈,Ａ级签约,2016/10/22 22:55
67,重生潜入梦,第十个名字,都市小说,1744381,550,3735386,33114,8,公众作品,已经完本,Ａ级签约,2015/11/11 11:45
68,帝霸,厌笔萧生,玄幻小说,4238532,2951,6264782,58419,9.7,公众作品,新书上传,Ａ级签约,2016/10/23 9:20
69,太上章,徐公子胜治,玄幻小说,1129263,667,3304615,46568,9.8,公众作品,情节展开,Ａ级签约,2016/10/21 11:46
70,文艺时代,睡觉会变白,职场小说,991751,1245,2556350,81241,9.8,公众作品,已经完本,Ａ级签约,2016/9/27 10:06
71,东京道士,明月子时,仙侠小说,1450629,365,2012252,12393,9.5,公众作品,已经完本,Ａ级签约,2016/7/18 16:10
72,冠军之光,林海听涛,体育小说,264065,95,4382571,4066,9.9,公众作品,已经完本,签约作品,2015/8/27 11:45
73,梦幻香江,王梓钧,都市小说,2796948,490,2890587,15920,9.6,公众作品,已经完本,Ａ级签约,2015/7/14 14:34
74,帝国崛起,断刃天涯,历史小说,1648689,815,2893956,16955,9.4,公众作品,已经完本,Ａ级签约,2016/1/1 20:09
75,九星,果味喵,游戏小说,1052332,167,1767273,20227,9.9,公众作品,连载中,Ａ级签约,2016/3/31 23:31
76,大道独行,雾外江山,仙侠小说,5321276,404,5189080,49992,9.5,公众作品,已经完本,Ａ级签约,2015/12/21 22:48
77,炼器狂潮,单纯宅男,玄幻小说,1234546,354,2514183,16881,9.8,公众作品,已经完本,Ａ级签约,2016/4/10 0:09
78,越战的血,远征士兵,军事小说,1321315,473,3238142,11596,9.3,公众作品,已经完本,Ａ级签约,2015/5/15 20:13
79,校花的贴身高手,鱼人二代,都市小说,25070251,900,11453248,44922,9.3,公众作品,情节展开,Ａ级签约,2016/10/22 20:37
80,崛起1892,酸奶酪,军事小说,877423,644,3136215,10438,8.9,公众作品,新书上传,Ａ级签约,2016/10/23 13:20
81,无敌药尊,炖肉大锅菜,玄幻小说,2262767,155,2923868,18217,9.6,公众作品,新书上传,Ａ级签约,2016/7/26 23:59
82,独步,蓝领笑笑生,玄幻小说,7917248,386,3266481,25925,9.4,公众作品,连载中,Ａ级签约,2016/9/26 13:00
83,最仙_,虾写,仙侠小说,566286,275,1425232,7724,9.9,公众作品,已经完本,Ａ级签约,2015/6/10 17:46
84,我的二战不可能这么萌,月面,历史小说,318905,277,3614526,6670,9.5,公众作品,连载中,签约作品,2015/8/25 19:23
85,重生之神级学霸,志鸟村,都市小说,870558,2869,3136573,72757,9.7,公众作品,连载中,签约作品,2016/10/22 22:36
86,超级提取,风少羽,都市小说,1324854,0,881362,6801,9.4,公众作品,已经完本,Ａ级签约,2015/7/31 22:43
87,俗人回档,庚不让,都市小说,963201,2475,3292468,83731,9.6,公众作品,连载中,签约作品,2016/10/22 0:38
88,钢铁雄心之舰男穿越记,半只青蛙,历史小说,556726,424,2162880,7209,9.7,公众作品,已经完本,Ａ级签约,2016/1/7 18:27
89,重生之资源大亨,月下的孤狼,职场小说,5264156,884,11686596,33306,9.5,公众作品,情节展开,Ａ级签约,2016/10/22 23:49
90,裁决,七十二编,玄幻小说,9334153,611,3268346,122214,9.7,公众作品,情节展开,Ａ级签约,2016/9/29 0:17
91,灌篮之池上亮二,枫霜,二次元小说,1422699,149,616419,2174,10,VIP作品,新书上传,专属作品,2016/2/2 23:37
92,史上第一祖师爷,八月飞鹰,玄幻小说,1878446,529,4616369,31198,9.7,公众作品,已经完本,Ａ级签约,2016/6/5 13:18
93,守望黎明号,黑袍雷斯林,科幻小说,1428172,783,4334120,46057,9.7,公众作品,连载中,Ａ级签约,2016/10/22 23:23
94,超级电子帝国,千年静守,都市小说,960120,313,4397768,11284,9.5,公众作品,已经完本,Ａ级签约,2016/2/17 15:46
95,天书科技,一桶布丁,都市小说,696026,189,1429771,5406,9.7,公众作品,已经完本,Ａ级签约,2015/6/1 20:43
96,穿越者事务所,路过的穿越者,科幻小说,799677,244,2812541,11722,9.9,公众作品,已经完本,Ａ级签约,2015/10/1 4:35
97,英雄信条,相思洗红豆,玄幻小说,1654384,285,5410337,23098,9.6,公众作品,新书上传,Ａ级签约,2016/9/12 15:17
98,重生之歌坛传奇,渡木桥,都市小说,1410992,409,1661365,8221,9.6,公众作品,已经完本,Ａ级签约,2015/6/9 12:31
99,我为王,枪手1号,历史小说,1024929,1105,4782314,11357,9.6,公众作品,已经完本,Ａ级签约,2016/3/21 23:39
100,大明土豪,晨风天堂,历史小说,804770,172,1921009,4630,9.9,公众作品,已经完本,Ａ级签约,2015/4/30 19:10
101,帝尊,宅猪,仙侠小说,5804426,362,5457529,44127,9.8,公众作品,已经完本,Ａ级签约,2015/3/13 20:07
102,医鼎,茗夜,都市小说,850909,1364,3779966,16361,9.5,公众作品,新书上传,Ａ级签约,2016/10/22 22:33
103,进击的大内密探,剑舞秀,科幻小说,939298,281,2117297,6214,9.7,公众作品,已经完本,Ａ级签约,2015/7/21 20:58
104,肆虐韩娱,姬叉,都市小说,633008,287,1728874,10126,9.9,公众作品,已经完本,Ａ级签约,2015/8/13 23:44
105,至尊箭神,EK巧克力,玄幻小说,3374819,418,2578697,22182,9.9,公众作品,已经完本,Ａ级签约,2016/6/12 12:40
106,请回答二零一四,回锅豆腐,职场小说,811625,280,2482091,13018,8.5,公众作品,已经完本,Ａ级签约,2015/9/7 21:48
